epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
182,20076.8,1.31185,0.72328,1.75738,0.76722,0.71987,0.77209,0.49817,2.80921,1.98254,2.69427,0.0010405,0.0010405,0.0010405
183,20187.6,1.30395,0.71451,1.75919,0.78043,0.71057,0.77111,0.49674,2.81192,1.98471,2.69652,0.000991,0.000991,0.000991
184,20297.6,1.31272,0.73736,1.75669,0.7688,0.72051,0.77195,0.4977,2.81052,1.98816,2.69681,0.0009415,0.0009415,0.0009415
185,20407.8,1.28622,0.71445,1.74615,0.76527,0.71991,0.77265,0.49808,2.80962,1.98177,2.6965,0.000892,0.000892,0.000892
186,20518.2,1.3029,0.74087,1.75845,0.76507,0.72113,0.7727,0.49759,2.81019,1.97888,2.69766,0.0008425,0.0008425,0.0008425
187,20628.4,1.28608,0.72767,1.75211,0.77508,0.71593,0.77333,0.49713,2.80994,1.97821,2.69914,0.000793,0.000793,0.000793
188,20738.6,1.28104,0.7108,1.74418,0.76863,0.71947,0.77428,0.49831,2.81232,1.97607,2.70135,0.0007435,0.0007435,0.0007435
189,20848.9,1.27949,0.70776,1.74058,0.77925,0.72095,0.77642,0.4991,2.81365,1.97801,2.70356,0.000694,0.000694,0.000694
190,20959.3,1.25658,0.68941,1.73841,0.77696,0.72116,0.77506,0.49788,2.81483,1.98066,2.70561,0.0006445,0.0006445,0.0006445
191,21071.1,1.28167,0.70298,1.77032,0.77321,0.72099,0.77484,0.49812,2.81397,1.99261,2.70597,0.000595,0.000595,0.000595
192,21181.1,1.24672,0.68332,1.75527,0.77353,0.71846,0.77266,0.49705,2.81303,1.99955,2.70458,0.0005455,0.0005455,0.0005455
193,21290.9,1.21709,0.64212,1.7501,0.76564,0.72023,0.77165,0.4963,2.80992,2.00701,2.70295,0.000496,0.000496,0.000496
194,21401.1,1.21607,0.64534,1.7586,0.77891,0.70949,0.77103,0.49725,2.80963,2.01038,2.70227,0.0004465,0.0004465,0.0004465
195,21511,1.19406,0.6188,1.73881,0.77176,0.71104,0.77015,0.49617,2.80951,2.01675,2.70219,0.000397,0.000397,0.000397
196,21620.8,1.19182,0.61943,1.73754,0.77574,0.7063,0.76875,0.49639,2.80837,2.02171,2.70184,0.0003475,0.0003475,0.0003475
197,21730.8,1.17621,0.60993,1.73466,0.76528,0.71008,0.76733,0.49596,2.80972,2.02612,2.70208,0.000298,0.000298,0.000298
198,21840.7,1.16402,0.58302,1.73388,0.76345,0.7088,0.76564,0.49504,2.80966,2.03097,2.70397,0.0002485,0.0002485,0.0002485
199,21950.5,1.18783,0.62821,1.74646,0.75904,0.71438,0.76464,0.49528,2.8093,2.03967,2.70324,0.000199,0.000199,0.000199
200,22060.3,1.16524,0.6084,1.73746,0.76282,0.71128,0.76464,0.4954,2.80957,2.04348,2.70284,0.0001495,0.0001495,0.0001495
