epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,4760.9,2.75814,2.47612,2.33584,0.75402,0.72036,0.77226,0.48469,2.7646,1.73618,2.4846,0.007921,0.007921,0.007921
44,4870.72,2.74191,2.43713,2.31829,0.64532,0.70104,0.68072,0.43025,2.79518,1.95458,2.52444,0.0078715,0.0078715,0.0078715
45,4980.32,2.68626,2.38811,2.3016,0.76366,0.71835,0.77086,0.4785,2.84165,1.79378,2.55509,0.007822,0.007822,0.007822
46,5089.98,2.6614,2.38219,2.30298,0.69974,0.70687,0.73646,0.46723,2.75028,1.83267,2.51114,0.0077725,0.0077725,0.0077725
47,5199.55,2.66808,2.33678,2.2867,0.80334,0.67739,0.76793,0.49365,2.75511,1.77813,2.48882,0.007723,0.007723,0.007723
48,5309.45,2.63878,2.34683,2.28563,0.74245,0.66096,0.7426,0.4709,2.77534,1.86776,2.50332,0.0076735,0.0076735,0.0076735
49,5419.3,2.6303,2.33274,2.26817,0.76421,0.69159,0.75621,0.46803,2.81888,1.78901,2.54122,0.007624,0.007624,0.007624
50,5529.19,2.62836,2.32013,2.27857,0.69227,0.70856,0.71426,0.44208,2.80641,1.83669,2.51761,0.0075745,0.0075745,0.0075745
51,5639.46,2.61368,2.36649,2.27299,0.77457,0.72591,0.80006,0.50638,2.7742,1.72392,2.51153,0.007525,0.007525,0.007525
52,5749.91,2.56563,2.26427,2.25391,0.79396,0.70182,0.77865,0.49483,2.76676,1.77698,2.51559,0.0074755,0.0074755,0.0074755
53,5860.01,2.58129,2.26844,2.26823,0.79013,0.69643,0.77782,0.49778,2.80833,1.73536,2.5273,0.007426,0.007426,0.007426
54,5969.98,2.57081,2.30633,2.24402,0.75411,0.68222,0.74082,0.47614,2.74654,1.80193,2.50026,0.0073765,0.0073765,0.0073765
55,6079.96,2.56451,2.3098,2.24548,0.68403,0.68366,0.72073,0.45782,2.76358,1.97022,2.49828,0.007327,0.007327,0.007327
56,6189.86,2.55658,2.28429,2.24433,0.71703,0.66897,0.71066,0.44031,2.82973,1.96019,2.54079,0.0072775,0.0072775,0.0072775
57,6300.51,2.50889,2.2281,2.23548,0.68166,0.7048,0.73255,0.459,2.77831,1.77098,2.52548,0.007228,0.007228,0.007228
58,6411.19,2.5177,2.22161,2.22415,0.77117,0.68258,0.75948,0.48311,2.7668,1.75347,2.50621,0.0071785,0.0071785,0.0071785
59,6521.69,2.47439,2.16051,2.20813,0.72733,0.73305,0.75922,0.47894,2.80121,1.70963,2.52881,0.007129,0.007129,0.007129
60,6632.01,2.50202,2.26256,2.22189,0.72582,0.7317,0.7528,0.47217,2.82765,1.77556,2.56478,0.0070795,0.0070795,0.0070795
61,6742.2,2.42466,2.12706,2.19956,0.74348,0.69423,0.74957,0.47084,2.81408,1.79754,2.54283,0.00703,0.00703,0.00703
62,6852.23,2.43833,2.12306,2.18989,0.77753,0.72113,0.78227,0.49189,2.81473,1.73305,2.56678,0.0069805,0.0069805,0.0069805
63,6962.11,2.41376,2.09075,2.20015,0.81853,0.6896,0.77507,0.48512,2.79801,1.73233,2.53441,0.006931,0.006931,0.006931
64,7072.19,2.40494,2.13619,2.17112,0.7746,0.69519,0.75802,0.47741,2.84171,1.78712,2.55948,0.0068815,0.0068815,0.0068815
65,7182.09,2.37658,2.06249,2.16875,0.75351,0.72505,0.7804,0.49113,2.82117,1.73141,2.55958,0.006832,0.006832,0.006832
66,7292.18,2.38431,2.06749,2.17833,0.78306,0.68552,0.77687,0.49018,2.83429,1.80092,2.54588,0.0067825,0.0067825,0.0067825
67,7402.52,2.37326,2.11754,2.17162,0.73227,0.69794,0.77022,0.48783,2.83196,1.77158,2.56223,0.006733,0.006733,0.006733
68,7512.52,2.34502,2.04779,2.16196,0.72389,0.69036,0.75379,0.46803,2.8476,1.82827,2.57334,0.0066835,0.0066835,0.0066835
69,7622.53,2.361,2.07593,2.16785,0.75945,0.70027,0.77984,0.49021,2.8432,1.77539,2.56228,0.006634,0.006634,0.006634
70,7732.67,2.34506,2.06011,2.16121,0.72777,0.68905,0.74415,0.47299,2.8091,1.88835,2.53591,0.0065845,0.0065845,0.0065845
71,7843.06,2.32315,1.98016,2.14665,0.70144,0.72505,0.74496,0.4708,2.83608,1.8424,2.57371,0.006535,0.006535,0.006535
72,7953.4,2.32178,2.0385,2.14834,0.75,0.69717,0.75343,0.47665,2.80175,1.76706,2.56882,0.0064855,0.0064855,0.0064855
73,8063.97,2.2772,1.92081,2.13208,0.71491,0.7262,0.74549,0.47482,2.7744,1.80584,2.53865,0.006436,0.006436,0.006436
74,8174.31,2.26221,1.87625,2.11637,0.73754,0.72081,0.75929,0.48265,2.8073,1.86523,2.57101,0.0063865,0.0063865,0.0063865
75,8284.55,2.26353,1.893,2.11835,0.75112,0.71926,0.78489,0.49671,2.83894,1.79906,2.58635,0.006337,0.006337,0.006337
76,8395.09,2.24223,1.89167,2.11243,0.76985,0.69812,0.75349,0.47869,2.8033,1.79171,2.55584,0.0062875,0.0062875,0.0062875
77,8505.39,2.23471,1.87949,2.09552,0.73646,0.72892,0.78017,0.49355,2.81971,1.79866,2.57136,0.006238,0.006238,0.006238
78,8615.81,2.21552,1.86212,2.10934,0.70306,0.6986,0.72793,0.45414,2.83261,1.92978,2.58943,0.0061885,0.0061885,0.0061885
